지수명,시가,종가,등락률,거래량,거래대금
코스닥,702.53,987.58,40.56,766194640046,4596047799607943
코스닥 150,1083.92,1390.43,28.28,57312355624,1368870963196588
코스닥 150 정보기술,548.05,822.4,50.06,19074146454,318041073865341
코스닥 150 헬스케어,3454.27,4224.64,22.3,13765622791,631026013575732
코스닥 150 커뮤니케이션서비스,2156.43,2970.28,37.75,1939701394,77940412067339
코스닥 150 소재,1159.31,2027.99,74.94,5541180791,95072289621844
코스닥 150 산업재,220.71,266.5,20.75,3293963047,54803344338979
코스닥 150 필수소비재,682.25,778.31,14.08,4993798218,62260213962092
코스닥 150 자유소비재,1163.63,1144.53,-1.64,6687216626,119406291586141
기타서비스,3060.29,3895.71,27.3,36224225396,517844993238885
코스닥 IT,829.73,1227.47,47.94,282403015199,1325270549049343
제조업,2351.97,3163.63,34.5,301325473036,2102934456470545
건설,80.1,115.95,44.75,10051222274,39712833645817
유통,416.78,693.54,66.4,51692453953,282745337736615
운송,3624.78,5467.59,50.84,5014570772,6861641013921
금융,730.08,1238.04,69.56,34313793153,129693151753286
오락·문화,508.61,628.09,23.48,22606381005,118834009263489
통신방송서비스,1510.98,1649.02,9.14,20470841909,52366025688319
IT S/W & SVC,1678.63,2332.87,38.97,65054533709,396672918795178
IT H/W,423.12,670.49,58.47,196877639581,876231604565846
음식료·담배,10614.88,11282.58,6.29,17037357194,80063922864130
섬유·의류,143.55,153.92,7.22,8210407700,42398898345147
종이·목재,9298.15,19424.58,108.94,8085194492,45984143096920
출판·매체복제,4232.18,6536.63,54.44,13345422798,61001962849279
화학,2188.85,3504.28,60.1,37707757352,249322113725324
제약,8804.71,11999.39,36.28,32397779447,668440927231884
비금속,53557.06,75512.78,41.0,9968260703,44552441211859
금속,1780.17,2397.18,34.66,23857958543,86086269902455
기계·장비,522.17,680.47,30.31,58698767672,270942870249214
일반전기전자,746.43,1024.62,37.28,24309001140,178470040999943
의료·정밀기기,1483.95,1911.68,28.81,25191072726,161551421492419
운송장비·부품,5920.79,7074.26,19.48,39639819035,203620376197627
기타제조,1529.46,1583.81,3.55,2876674234,10499068304344
통신서비스,803.77,1028.24,27.94,11878756874,23143405470955
방송서비스,4978.43,5185.27,4.15,8592085035,29222620217364
인터넷,15081.41,20907.13,38.62,2326790807,20428341014308
디지털컨텐츠,938.17,1389.25,48.1,22184752083,158221563394001
소프트웨어,233.49,327.91,40.44,29711430453,172508606390046
컴퓨터서비스,337.83,319.12,-5.54,10831560366,45514407996823
통신장비,190.19,235.91,24.05,20378505824,179846591662897
정보기기,15.15,20.17,33.12,36928079700,60555380562675
반도체,945.51,1831.97,93.75,62054237280,367577383238965
IT부품,787.26,1034.33,31.38,77516816777,268252249101309
코스닥 대형주,1420.27,1924.71,35.53,38866740990,1172718843590407
코스닥 중형주,656.32,927.02,41.25,168470588045,1193720128491424
코스닥 소형주,2376.44,3644.44,53.38,523017420749,1825145053153240
코스닥 우량기업부,1251.88,1899.97,51.78,125799610390,1442368194379796
코스닥 벤처기업부,1575.0,2134.36,35.5,134697059997,795097406477903
코스닥 중견기업부,1443.2,2051.09,42.12,418369576440,1564855550864692
코스닥 기술성장기업부,6642.75,7552.57,13.7,31644528804,671418653723391
코스닥,0.0,870.28,0.0,580627596109,4426933512419671
코스닥 150,0.0,1321.87,0.0,38983252183,1326997889595137
코스닥 글로벌,0.0,1299.84,0.0,3268022278,162625427409688
코스닥 150 정보기술,0.0,734.73,0.0,10883692590,321833520919845
코스닥 150 헬스케어,0.0,2708.65,0.0,8698374430,287793143502617
코스닥 150 커뮤니케이션서비스,0.0,3122.17,0.0,3401173507,240769398153345
코스닥 150 소재,0.0,3680.52,0.0,3905681604,175940536885694
코스닥 150 산업재,0.0,419.27,0.0,3285618050,160659395349055
코스닥 150 필수소비재,0.0,753.14,0.0,2040959542,51787274656288
코스닥 150 자유소비재,0.0,801.24,0.0,4575730774,68772535930766
기타서비스,0.0,2354.94,0.0,28057579201,313272427351248
코스닥 IT,0.0,1040.76,0.0,183993996092,1537698898811816
제조업,0.0,3029.17,0.0,240970947075,1909623674716237
건설,0.0,79.5,0.0,12254766224,58848119196473
유통,0.0,468.14,0.0,43098160113,215614239906812
운송,0.0,3527.11,0.0,1611969520,9700405860082
금융,0.0,1587.8,0.0,22483288111,148189779250167
오락·문화,0.0,754.61,0.0,17284100540,167631445771970
통신방송서비스,0.0,925.07,0.0,11032398393,50950601426554
IT S/W & SVC,0.0,1766.35,0.0,64241287480,688625206528594
IT H/W,0.0,626.41,0.0,108720310219,798123090856668
음식료·담배,0.0,8727.94,0.0,22975406945,129106540456883
섬유·의류,0.0,97.92,0.0,4829688834,21604850749725
종이·목재,0.0,10671.15,0.0,1762073701,11751896079559
출판·매체복제,0.0,3189.85,0.0,9126462784,46045622038815
화학,0.0,3176.24,0.0,25437910781,235569958509130
제약,0.0,8228.45,0.0,22633793846,394031169695340
비금속,0.0,50185.87,0.0,4905815207,27294448827434
금속,0.0,2883.42,0.0,25388662126,159308215043838
기계·장비,0.0,631.47,0.0,45651382456,312094424099797
일반전기전자,0.0,2205.51,0.0,18881645261,244961795032857
의료·정밀기기,0.0,2140.78,0.0,24578624795,153632321529785
운송장비·부품,0.0,6473.2,0.0,29869355684,145887942246602
기타제조,0.0,1436.76,0.0,4945003908,28729244096322
통신서비스,0.0,683.76,0.0,4350953114,20033815385388
방송서비스,0.0,2714.28,0.0,6681445279,30916786041166
인터넷,0.0,10309.15,0.0,2383213243,14869722110588
디지털컨텐츠,0.0,1065.46,0.0,21035892081,342555432780482
소프트웨어,0.0,254.4,0.0,29925446591,289466919600490
컴퓨터서비스,0.0,241.22,0.0,10896735565,41733132037034
통신장비,0.0,129.39,0.0,11984693866,93364220275843
정보기기,0.0,11.45,0.0,16198384611,27932218931130
반도체,0.0,1606.14,0.0,37124809820,305403468798579
IT부품,0.0,1314.88,0.0,43412421922,371423182851116
코스닥 대형주,0.0,1905.02,0.0,25470687739,1169921791384908
코스닥 중형주,0.0,732.79,0.0,96601026912,1070937350135926
코스닥 소형주,0.0,2997.99,0.0,416344315553,1839382658292073
코스닥 우량기업부,0.0,1861.66,0.0,99621653119,1514800766839059
코스닥 벤처기업부,0.0,1699.18,0.0,125274621830,817563944287273
코스닥 중견기업부,0.0,1737.77,0.0,272811776459,1405609915478276
코스닥 기술성장기업부,0.0,4927.32,0.0,37096800398,597631946750604
코스닥,0.0,850.75,0.0,256481495381,2448435202707860
코스닥 150,0.0,1378.13,0.0,24861527693,929457700259964
코스닥 글로벌,0.0,1510.05,0.0,6266319408,362027900526469
코스닥 150 정보기술,0.0,834.68,0.0,8059381336,260795299141786
코스닥 150 헬스케어,0.0,3603.25,0.0,6320892923,195337555759543
코스닥 150 커뮤니케이션서비스,0.0,2241.28,0.0,1282608139,56830788195258
코스닥 150 소재,0.0,4983.86,0.0,1963574591,211246794039241
코스닥 150 산업재,0.0,347.78,0.0,1919674726,160121768967640
코스닥 150 필수소비재,0.0,406.97,0.0,1942688102,14311488208431
