지수명,시가,종가,등락률,거래량,거래대금
코스피,2066.97,3240.08,56.75,433097530317,5617049115578691
코스피 200,267.66,432.22,61.47,84269066371,3863943932459830
코스피 100,2038.01,3264.07,60.16,50356850191,3140919519390041
코스피 50,1788.63,2989.6,67.1,31043811556,2612013136147656
코스피 200 중소형주,906.2,1527.62,68.56,33912216180,723024413069789
코스피 200 초대형제외 지수,212.4,321.49,51.38,74953500576,3281683913712026
코스피200제외 코스피지수,2671.24,4115.16,54.06,233909890596,1149983503999718
코스피 200 커뮤니케이션서비스,1565.83,3249.23,107.5,3387198957,362117429303863
코스피 200 건설,273.16,323.89,18.56,5947680624,111130322567755
코스피 200 중공업,276.74,387.57,40.06,10781233033,150781185506160
코스피 200 철강/소재,759.31,1038.51,36.78,2024039942,91111041805750
코스피 200 에너지/화학,1229.52,2102.24,71.0,6071237371,506950231285714
코스피 200 정보기술,2002.0,3824.99,91.06,15375579115,1092574213440230
코스피 200 금융,720.12,749.37,4.06,13155595351,218720899918704
코스피 200 생활소비재,1120.38,1257.21,12.21,4000749948,218770201088818
코스피 200 경기소비재,1393.86,2016.55,44.66,7676202296,466381475144385
코스피 200 산업재,497.67,758.74,52.47,9436497962,190466599372935
코스피 200 헬스케어,1835.29,2522.12,37.4,6413051772,454940333025516
음식료품,3655.48,4582.02,25.34,34334130128,96774394386796
섬유의복,289.78,411.49,42.0,11074814848,31689851728852
종이목재,391.39,478.05,22.14,15297028278,52343004206917
화학,4697.12,7606.48,61.94,24625305051,712585887743719
의약품,10175.8,17995.48,76.9,29503438040,729995931368017
비금속광물,1688.61,2772.41,64.2,9190828336,73919207966766
철강금속,4025.5,5462.52,35.7,22297939523,175230090081904
기계,739.66,1354.98,83.2,26500086915,166220278940505
전기전자,15953.09,30792.65,93.0,55550312947,1373523826835054
의료정밀,2543.39,3276.16,28.81,10017484465,10334254799417
운수장비,1546.61,2456.41,58.84,29178108625,472484924865725
유통업,376.26,444.22,18.06,59404739676,254714474403278
전기가스업,852.62,845.21,-0.87,1882220875,43883257974450
건설업,111.13,140.34,26.28,10376179717,100966940714129
운수창고업,1450.59,2617.94,80.5,20261445127,214792387769105
통신업,363.39,437.99,20.53,2876201101,66265697576950
금융업,435.34,479.12,10.06,39236155002,463024666057627
증권,1839.8,2231.19,21.27,13972775150,65558630921904
보험,15875.61,14547.03,-8.37,5725266490,59552978380455
서비스업,1091.55,1962.74,79.8,24008755256,521979408645296
제조업,4737.7,8201.09,73.1,271763468718,3931094403242586
코스피 대형주,1996.26,3184.3,59.5,52505694590,3183486923649007
코스피 중형주,2329.32,3582.4,53.8,75218841891,1149545163704434
코스피 소형주,1947.29,2803.04,43.94,294169838010,985383119210270
코스피 200 비중상한 30%,267.66,431.59,61.25,59669594901,2873344888654485
코스피 200 비중상한 25%,266.7,428.38,60.62,59669594901,2873344888654485
코스피 200 비중상한 20%,263.33,418.07,58.75,59669594901,2873344888654485
코스피,0.0,2615.41,0.0,325859366058,5077255864099609
코스피 200,0.0,343.91,0.0,74366059818,3571008358985535
코스피 100,0.0,2594.94,0.0,42526114536,2933970707555813
코스피 50,0.0,2386.07,0.0,25409805487,2350835120734641
코스피 200 중소형주,0.0,1204.55,0.0,31839945282,637037651429722
코스피 200 초대형제외 지수,0.0,246.3,0.0,67096087665,3079777070513256
코스피200제외 코스피지수,0.0,3244.89,0.0,235430317875,1398478776610286
코스피 200 커뮤니케이션서비스,0.0,1821.05,0.0,3737216503,408292514487540
코스피 200 건설,0.0,327.31,0.0,3967875002,161720192265767
코스피 200 중공업,0.0,337.16,0.0,9637760588,207662554713896
코스피 200 철강/소재,0.0,866.85,0.0,1963120443,132877031240094
코스피 200 에너지/화학,0.0,1617.7,0.0,4448097274,421397411165292
코스피 200 정보기술,0.0,3353.91,0.0,12467435440,1009443853768881
코스피 200 금융,0.0,615.05,0.0,9333043054,223465118140471
코스피 200 생활소비재,0.0,813.74,0.0,2510989976,155929195951039
코스피 200 경기소비재,0.0,1549.08,0.0,4957810459,290263453000585
코스피 200 산업재,0.0,628.72,0.0,18653971913,329763270651471
코스피 200 헬스케어,0.0,1721.44,0.0,2688739166,230193763600499
음식료품,0.0,3733.13,0.0,15809982736,74107362063098
섬유의복,0.0,388.51,0.0,19977048725,47874359824414
종이목재,0.0,401.56,0.0,5444564789,21240467453213
화학,0.0,5666.33,0.0,22616898217,678695543944667
의약품,0.0,13578.28,0.0,10269805267,353302251560267
비금속광물,0.0,4125.14,0.0,7375222083,110497326280084
철강금속,0.0,5351.51,0.0,20470917989,225818321368439
기계,0.0,1142.99,0.0,29171051431,234764368094729
전기전자,0.0,28016.37,0.0,47709799972,1312803206576075
의료정밀,0.0,1931.53,0.0,1873775042,39573827289600
운수장비,0.0,2170.53,0.0,21742560080,387683257907080
유통업,0.0,333.62,0.0,30384314972,181748342038262
전기가스업,0.0,653.74,0.0,2258091846,49563197506277
건설업,0.0,79.08,0.0,12690895877,94548015138229
운수창고업,0.0,1551.51,0.0,11450111968,146635373188564
통신업,0.0,367.87,0.0,2242211475,50645908909502
금융업,0.0,363.38,0.0,24763670347,438721524071877
증권,0.0,1796.47,0.0,5829824387,34770477479866
보험,0.0,15461.43,0.0,2533067223,41861849448784
서비스업,0.0,1156.72,0.0,22683019607,579258662008803
제조업,0.0,7130.89,0.0,205189516335,3512452421233313
코스피 대형주,0.0,2616.49,0.0,45072824564,2945432545385962
코스피 중형주,0.0,2767.88,0.0,49876468804,908985398235900
코스피 소형주,0.0,2395.84,0.0,211886293300,935850918035109
코스피 200 비중상한 30%,0.0,343.29,0.0,74366059818,3571008358985535
코스피 200 비중상한 25%,0.0,339.13,0.0,74366059818,3571008358985535
코스피 200 비중상한 20%,0.0,328.82,0.0,74366059818,3571008358985535
코스피 200 TOP 10,0.0,1343.77,0.0,12122540110,1273423617580744
코스피,0.0,2689.5,0.0,125688804402,2545919633586983
코스피 200,0.0,366.44,0.0,30713869717,1800296005072675
코스피 100,0.0,2751.69,0.0,20647973392,1505313079567676
코스피 50,0.0,2531.99,0.0,13416357994,1240066542840403
코스피 200 중소형주,0.0,1354.74,0.0,10065896325,294982925504999
코스피 200 초대형제외 지수,0.0,260.95,0.0,26721254387,1505320362063829
코스피200제외 코스피지수,0.0,3484.23,0.0,88531501566,692153072970793
코스피 200 커뮤니케이션서비스,0.0,1668.85,0.0,1353544525,108295289178380
코스피 200 건설,0.0,301.02,0.0,1326942254,61778840450674
코스피 200 중공업,0.0,411.15,0.0,4891910463,115951314463975
