지수명,시가,종가,등락률,거래량,거래대금
KRX 300,1233.37,1950.79,58.16,124336715475,5124708427888671
KTOP 30,6569.06,11589.15,76.44,22662988234,2142814112595788
KRX 100,4317.59,6758.23,56.53,44575634318,3231280616794089
KRX 자동차,1489.81,2505.75,68.2,8007832465,329841006303563
KRX 반도체,2017.23,3865.46,91.6,13032653098,392179750248001
KRX 헬스케어,3128.45,4350.11,39.06,30707111829,1347584466327588
KRX 은행,762.31,804.93,5.59,6092507722,124815083012964
KRX 에너지화학,2123.04,3967.67,86.9,7751937080,536856817848811
KRX 철강,1474.52,2094.19,42.03,7776108910,122571998706532
KRX 방송통신,888.35,1003.77,12.99,13217593293,80112326793974
KRX 건설,618.79,768.46,24.19,9496048592,136618982552559
KRX 증권,677.32,886.39,30.88,12645601111,66693787004191
KRX 기계장비,486.82,682.97,40.28,26840031781,279908063103898
KRX 보험,1479.45,1325.88,-10.38,5502129300,57134061423766
KRX 운송,640.85,1480.88,131.1,12419809891,179805230409600
KRX 경기소비재,1300.53,1527.14,17.42,9118345736,345597768040718
KRX 필수소비재,1593.72,1868.89,17.27,5980478153,236530960511992
KRX 미디어&엔터테인먼트,1618.63,3552.86,119.5,4146117535,379981999022250
KRX 정보기술,961.3,1766.64,83.75,30500335958,1311062255233035
KRX 유틸리티,1053.98,990.53,-6.02,1730975472,42218604363785
KRX 300 정보기술,1564.82,2862.9,82.94,26021939615,1242485527374653
KRX 300 금융,876.39,918.15,4.77,15509903783,242743897636877
KRX 300 자유소비재,1279.79,1876.33,46.62,12256536557,618821366572883
KRX 300 산업재,586.49,782.6,33.44,27420059951,575830933603556
KRX 300 헬스케어,2690.2,3654.66,35.84,20816521775,1130035888142742
KRX 300 커뮤니케이션서비스,1310.97,2645.5,101.8,5190558630,440640963357430
KRX 300 소재,968.7,1829.59,88.9,11419614415,542507232759235
KRX 300 필수소비재,1591.99,1856.57,16.62,3038794297,181453956010397
KRX 300,0.0,1578.02,0.0,92023265224,4674943118702440
KTOP 30,0.0,9190.01,0.0,18898755501,1746839909192121
KRX 100,0.0,5402.29,0.0,45959317566,3229561974105497
KRX 자동차,0.0,1956.14,0.0,5554321072,213157037902676
KRX 반도체,0.0,3154.67,0.0,11110712313,377193729860919
KRX 헬스케어,0.0,2845.84,0.0,19020546561,652522602877752
KRX 은행,0.0,622.65,0.0,6051832884,156021137648887
