날짜,시가,고가,저가,종가,거래량,등락률
2019-06-05,41650,42350,41000,41600,99085,1.8359853121175032
2019-06-07,41600,41650,40800,41300,65789,-0.7211538461538461
2019-06-10,41300,41500,40500,40850,63238,-1.0895883777239708
2019-06-11,40750,41350,40650,41000,45723,0.36719706242350064
2019-06-12,41050,41050,40000,40350,79832,-1.5853658536585367
2019-06-13,40150,40700,39300,40400,102375,0.12391573729863693
2019-06-14,40050,41000,40050,40700,67428,0.7425742574257426
2019-06-17,40700,40700,38800,39000,86775,-4.176904176904177
2019-06-18,38950,39700,35700,36900,267660,-5.384615384615385
2019-06-19,36900,38300,36600,37800,85687,2.4390243902439024
2019-06-20,37650,38650,37100,38450,40796,1.7195767195767195
2019-06-21,38200,38800,37050,38000,59403,-1.1703511053315996
2019-06-24,37500,38050,35100,37050,112115,-2.5
2019-06-25,37250,37550,35850,35900,83572,-3.1039136302294197
2019-06-26,35650,37000,35150,36500,72109,1.6713091922005572
2019-06-27,36300,36500,33100,33100,152649,-9.315068493150685
2019-06-28,32450,35500,32450,33750,145733,1.9637462235649545
2019-07-01,33500,35200,33500,34800,77685,3.111111111111111
2019-07-02,34500,35150,34400,34800,35996,0.0
2019-07-03,34700,35250,34250,34750,41088,-0.14367816091954022
2019-07-04,34600,34600,32900,33300,82149,-4.172661870503598
2019-07-05,32950,34950,32900,34950,63212,4.954954954954955
2019-07-08,34700,34700,32200,32700,127956,-6.437768240343347
2019-07-09,32500,33050,29750,29850,196819,-8.715596330275229
2019-07-10,29750,32450,29750,32350,158818,8.375209380234507
2019-07-11,32200,33400,31900,33150,54600,2.472952086553323
2019-07-12,33300,33300,32600,33200,45402,0.1508295625942685
2019-07-15,32850,33400,31950,32150,47185,-3.1626506024096384
2019-07-16,31700,32400,30800,31200,77230,-2.9548989113530326
2019-07-17,31550,32850,30850,32250,72277,3.3653846153846154
2019-07-18,31650,32050,31050,31250,39480,-3.10077519379845
2019-07-19,31250,31700,30900,31300,55728,0.16
2019-07-22,31000,31900,30900,30950,45566,-1.1182108626198082
2019-07-23,30950,31500,30050,30100,75750,-2.7463651050080773
2019-07-24,29950,30750,28950,29300,81258,-2.6578073089700998
2019-07-25,29300,29550,27900,28450,115020,-2.901023890784983
2019-07-26,28250,30250,26200,30250,177101,6.32688927943761
2019-07-29,29850,30000,26900,26900,161063,-11.074380165289256
2019-07-30,26400,27550,25800,25800,154384,-4.089219330855019
